IdBibliografia,Autore,Titolo,ISBN,new_authors,new_identifier
34,,"Rocche e castelli di Romagna. I, Imola, Faenza e il Ravennate",,,"[{'type': 'OTHER', 'identifier': 'STANFORD:36105030782481'}]"
36,Cattani A.,Rocca d'Elmici,,['Papal States'],"[{'type': 'OTHER', 'identifier': 'OCLC:963876636'}]"
37,Cavina G.,Antichi fortilizi di Romagna. Valle del Lamone e del Marzeno. Valle del Sintria e del Senio. Brisighella,,['Giovanni Cavina'],"[{'type': 'OTHER', 'identifier': 'OCLC:320238048'}]"
38,Chiaramonti S.,Caesenae historia,,['Scipione Chiaramonti'],"[{'type': 'ISBN_10', 'identifier': '8827102078'}, {'type': 'ISBN_13', 'identifier': '9788827102077'}]"
39,"Messeri A., Calzi A.",Faenza nella storia e nell'arte,,"['Antonio Messeri', 'Achille Calzi']","[{'type': 'OTHER', 'identifier': 'SRLF:A0000920892'}]"
40,Metelli A.,Storia di Brisighella e della Valle di Amone,,['Antonio Metelli'],"[{'type': 'OTHER', 'identifier': 'BSB:BSB10987059'}]"
41,,Viaggio fra le rocche e i castelli della provincia di Ravenna,8880632116,['Giordana Trovabene'],"[{'type': 'OTHER', 'identifier': 'UOM:39015050265183'}]"
42,,"La rocca di Bertinoro 995-2000: castello comitale, sede vescovile, centro universitario: i lavori di recupero e restauro realizzati per il Grande Giubileo del 2000",,"['Città di Castello : Laboratorio urbanistico', 'Eugenio Bruschi', 'Raffaele Panella', 'Franco Panzini']","[{'type': 'OTHER', 'identifier': 'OCLC:848721088'}]"
44,,Storia di Ferrara. Il Basso Medioevo XII-XIV,8885668186,,"[{'type': 'OTHER', 'identifier': 'UCD:31175014540226'}]"
45,Alberti L.,Descrittione di tutta Italia & isole pertinenti ad essa,,['Alberti (Leandro)'],"[{'type': 'OTHER', 'identifier': 'RMS:RMS64S$$000004558$$$V'}]"
46,Biondo F.,Italia Illustrata,,"['Paolo Pontari', 'Università di Pisa']","[{'type': 'OTHER', 'identifier': 'BSB:BSB10180677'}]"
47,Curradi C.,Fonti per la storia di Ravenna (secoli XI-XV),,,"[{'type': 'OTHER', 'identifier': 'STANFORD:36105004104993'}]"
48,Cobelli L.,Cronache forlivesi: dalla fondazione della città sino all'anno 1498,,['Leone Cobelli'],"[{'type': 'OTHER', 'identifier': 'BSB:BSB11177438'}]"
49,Capezzuoli C.,Il restauro della rocca di Caterina Sforza in Forlì,,['conte Pier Desiderio Pasolini'],"[{'type': 'OTHER', 'identifier': 'ONB:+Z153172002'}]"
50,Capezzuoli C.,Il restauro della rocca di Forlimpopoli,,['conte Pier Desiderio Pasolini'],"[{'type': 'OTHER', 'identifier': 'ONB:+Z153172002'}]"
51,Zaccaria G.,Meldola assediata da Francesco Ordelaffi liberata dai Fiorentini soggetta alla Chiesa (1335-1342),,['Giacomo Zaccaria'],"[{'type': 'OTHER', 'identifier': 'OCLC:963521205'}]"
52,Toni G.,Racconti e leggende su Monte Mauro,,['Maria Cristina Citroni'],"[{'type': 'OTHER', 'identifier': 'IND:30000077020703'}]"
53,Vasina A.,Bondeno tra Medioevo ed Età Moderna nella storiografia,,['Enrica Guerra'],"[{'type': 'ISBN_10', 'identifier': '8846470990'}, {'type': 'ISBN_13', 'identifier': '9788846470997'}]"
54,Tabanelli M.,Dominii dei Manfredi: rocche e castelli,,,"[{'type': 'OTHER', 'identifier': 'STANFORD:36105030782481'}]"
56,Saviotti S.,"Oriolo: la storia ""minore"" di una comunità rurale e della sua torre",,['Stefano Saviotti'],"[{'type': 'OTHER', 'identifier': 'OCLC:963826993'}]"
57,Rossini G.,Federico II e l'assedio di Faenza,,['Bartholomeo Fiani'],"[{'type': 'OTHER', 'identifier': 'BSB:BSB10755908'}]"
58,Rosetti E.,La Romagna: geografia e storia,,['Emilio Rosetti'],"[{'type': 'OTHER', 'identifier': 'SRLF:D0000087528'}]"
60,Lega A.,Fortilizi in Val di Lamone,,['Achille Lega (géographe.)'],"[{'type': 'OTHER', 'identifier': 'OCLC:463706029'}]"
61,Indellicati M. T.,Calboli rifiorisce: Calboli mille anni dopo vive ancora,,['Dante Alighieri'],"[{'type': 'OTHER', 'identifier': 'BML:37001100552046'}]"
62,Marinelli L.,La rocca di Predappio,,"['Andrea Augenti', 'Sonia Merli']","[{'type': 'ISBN_13', 'identifier': '9788878147188'}, {'type': 'ISBN_10', 'identifier': '8878147184'}]"
63,Marzola I.,Le carte ferraresi più importanti anteriori al 1117,,"['Lorenzo Quilici', 'Stefania Quilici Gigli']","[{'type': 'ISBN_10', 'identifier': '8870628884'}, {'type': 'ISBN_13', 'identifier': '9788870628883'}]"
64,Manini Ferranti G.,Compendio della storia sacra e politica di Ferrara,,['Giuseppe Manini'],"[{'type': 'OTHER', 'identifier': 'BSB:BSB10078681'}]"
65,Calegari G. A.,Cronaca di Brisighella e Val d'Amone dalla origine al 1504,,['Giovanni Andrea Calegari (Bp. of Bertinoro.)'],"[{'type': 'OTHER', 'identifier': 'STANFORD:36105048368562'}]"
66,"Mancini F., Vichi W.","Castelli, rocche e torri di Romagna",,['Fausto Mancini'],"[{'type': 'OTHER', 'identifier': 'OCLC:1110191915'}]"
67,Ravaglia L. F.,I signori di Ravaldino,,['Carla Maria Russo'],"[{'type': 'ISBN_13', 'identifier': '9788858513071'}, {'type': 'ISBN_10', 'identifier': '885851307X'}]"
68,Samaritani A.,Regesta Pomposiae. I. AA. 874-1200,,['Letizia Caselli'],"[{'type': 'OTHER', 'identifier': 'UOM:39015041039176'}]"
69,Frizzi A.,Memorie per la storia di Ferrara,,['Antonio Frizzi'],"[{'type': 'OTHER', 'identifier': 'OXFORD:555078751'}]"
70,Franceschini A.,Artisti a Ferrara in età Umanistica e Rinascimentale. Testimonianze archivistiche. Dal 1341 al 1471,,['Adriano Franceschini'],"[{'type': 'OTHER', 'identifier': 'LCCN:94130579'}]"
71,Perogalli C.,Castelli e rocche di Emilia e Romagna,,['Carlo Perogalli'],"[{'type': 'OTHER', 'identifier': 'LCCN:73038574'}]"
72,Muratori L. A.,Delle antichità estensi ed italiane,,['Lodovico Antonio Muratori'],"[{'type': 'OTHER', 'identifier': 'BCUL:1092626710'}]"
73,,Statuta Ferrariae anno MCCLXXXVII,,['Ferrara (Italy)'],"[{'type': 'OTHER', 'identifier': 'UCAL:$B570733'}]"
74,Mastri P.,Ancora della rocca delle Caminate. La rocca di Meldola. Note aggiuntive,,,"[{'type': 'OTHER', 'identifier': 'IBNR:CR300077433'}]"
75,Mastri P.,Cenni storici sulla rocca di Meldola,,"['Paolo Mastri', 'Gino Rocchi']","[{'type': 'OTHER', 'identifier': 'HARVARD:32044012630158'}]"
76,Mastri P.,La rocca delle Caminate: iIl castello del duce,,['Paolo MASTRI'],"[{'type': 'OTHER', 'identifier': 'OCLC:1192604869'}]"
77,Marchesi S.,Supplemento istorico dell'antica città di Forlì: in cui si descrive la provincia di Romagna,,['Sigismondo Marchesi'],"[{'type': 'OTHER', 'identifier': 'IBNT:BT100027583'}]"
78,Malagù U.,Guida del Ferrarese,,['Ugo Malagù'],"[{'type': 'OTHER', 'identifier': 'OCLC:62936956'}]"
79,Maldini M.,Il piazzale del mastio a Meldola,,,"[{'type': 'ISBN_10', 'identifier': '8836534880'}, {'type': 'ISBN_13', 'identifier': '9788836534883'}]"
80,Mambrini D.,Galeata nella storia e nell'arte,,['Domenico Mambrini'],"[{'type': 'OTHER', 'identifier': 'OCLC:434685276'}]"
81,,"La ""Descriptio Romandiole"" del card. Anglic. Introduzione e testo",,,
82,Pasquali G.,Istituzioni plebane e castrensi nei secoli IX-XI,8885668186,['Paola Galetti'],"[{'type': 'ISBN_13', 'identifier': '9788892850330'}, {'type': 'ISBN_10', 'identifier': '8892850334'}]"
83,Graziani Secchieri L.,Castel Nuovo: il castello che non c'è più,,['Giuseppe Bellini'],"[{'type': 'OTHER', 'identifier': 'ONB:+Z255510905'}]"
84,Lazzari A.,Il primo Duca di Ferrara: Borso d'Este,,['Alfonso Lazzari'],"[{'type': 'OTHER', 'identifier': 'OCLC:255513095'}]"
85,Santini U.,Il comune di Forlimpopoli sotto la signoria degli Zampeschi: 1535-1578,,['Umberto Santini'],"[{'type': 'OTHER', 'identifier': 'OCLC:42844928'}]"
86,Simeoni L.,Federico II all'assedio di Faenza,,['Luigi Simeoni'],"[{'type': 'OTHER', 'identifier': 'OCLC:797492155'}]"
87,Scalabrini G. A.,Memorie storiche delle chiese di Ferrara e dei suoi borghi,,['Giuseppe Antenore Scalabrini'],"[{'type': 'OTHER', 'identifier': 'OCLC:63863687'}]"
88,Vecchiazzani M.,Historia di Forlimpopoli?Parte Prima,,['Matteo Vecchiazzani'],"[{'type': 'OTHER', 'identifier': 'BSB:BSB10052583'}]"
89,Vecchiazzani M.,Historia di Forlimpopoli ? Parte Seconda,,"['Carlo Dolcini', 'Pier Giovanni Fabbri']","[{'type': 'OTHER', 'identifier': 'STANFORD:36105121448810'}]"
90,Montenovesi O.,Regesto delle pergamene del monastero di S. Andrea a Ferrara,,['Ottorino Montenovesi'],"[{'type': 'OTHER', 'identifier': 'OCLC:162983301'}]"
93,,Statuta Faventiae. I,,,"[{'type': 'OTHER', 'identifier': 'OCLC:186780595'}]"
94,Borselli G.,Cronica gestorum ac factorum memorabilium civitatis Bononie,,"[""Girolamo Albertucci de' Borselli""]","[{'type': 'OTHER', 'identifier': 'STANFORD:36105210961376'}]"
96,Tolosano,Magistri Tolosani Chronicon Faventinum: AA. 20 av.C.-1236,,['Tolosanus'],"[{'type': 'OTHER', 'identifier': 'OCLC:797448847'}]"
97,"Piancastelli F., Minasi R.",L'evoluzione del centro urbano di Brisighella,,['Walter Fabietti'],"[{'type': 'ISBN_13', 'identifier': '9788881253319'}, {'type': 'ISBN_10', 'identifier': '8881253313'}]"
98,Cantinelli P.,Petri Cantinelli Chronicon: AA. 1228-1306,,['Pietro Cantinelli'],"[{'type': 'OTHER', 'identifier': 'OCLC:187064976'}]"
99,Gori M. C.,"La rocca ""Hordelaffa"" in Forlimpopoli",,['Sigismondo Marchesi'],"[{'type': 'OTHER', 'identifier': 'ONB:+Z175478301'}]"
100,Rossi G.,Hieronymi Rubei Historiarum Ravennatum libri decem hac altera editione libro undecimo,,['Girolamo Rossi'],"[{'type': 'OTHER', 'identifier': 'OCLC:1040220010'}]"
101,Federici P.,Codex diplomaticus pomposianus ab anno DCCCLXXIV ad annum MXLV,,['Giulio Barluzzi'],"[{'type': 'OTHER', 'identifier': 'IBNN:BNVA1001542010'}]"
102,"Federici P., Buzzi G.",Regesto della Chiesa di Ravenna: le carte dell'archivio estense,,['Ravenna (Archdiocese)'],"[{'type': 'OTHER', 'identifier': 'UVA:X000099788'}]"
103,Fontana V.,La rocca di Brisighella,,['Lodovico Marinelli'],"[{'type': 'OTHER', 'identifier': 'OCLC:964268311'}]"
104,"Girolamo, da Forlì",Chronicon fratris Hieronymi de Forlivio: ab anno 1397 usque ad annum 1433,,['Hieronymus (de Forlivio)'],"[{'type': 'OTHER', 'identifier': 'OCLC:631029838'}]"
105,Azzurrini B.,Chronica breviora aliaque monumenta Faventina a Bernardino Azzurrinio collecta,,['Bernardino Azzurrini'],"[{'type': 'OTHER', 'identifier': 'CORNELL:31924028365462'}]"
106,"Bernardi A., detto il Novacula",Cronache forlivesi di Andrea Bernardi (Novacula) dal 1476 al 1517,,['Andrea Bernardi'],"[{'type': 'OTHER', 'identifier': 'UIUC:30112004955115'}]"
107,Bocchi F.,Attraverso le città italiane nel Medioevo,,"['Franco Franceschi', 'Ilaria Taddei']","[{'type': 'ISBN_10', 'identifier': '8815138250'}, {'type': 'ISBN_13', 'identifier': '9788815138255'}]"
108,Bocchi F.,"Ferrara, una città fra due vocazioni: urbanistica e storia da piazzaforte militare a centro commerci",,['Stella Patitucci Uggeri'],"[{'type': 'ISBN_13', 'identifier': '9788878142176'}, {'type': 'ISBN_10', 'identifier': '8878142174'}]"
109,Bocchi F.,Per la storia della chiesa di Ferrara nel secolo X: il vescovo Martino (936-967),,['Friedrich Kempf'],"[{'type': 'ISBN_10', 'identifier': '8816302380'}, {'type': 'ISBN_13', 'identifier': '9788816302389'}]"
110,Bottoni A.,"Fortificazioni, assedi e prese della Rocca di Bondeno",,['Stella Patitucci Uggeri'],"[{'type': 'ISBN_13', 'identifier': '9788878142176'}, {'type': 'ISBN_10', 'identifier': '8878142174'}]"
111,Ricci C.,Il castello e la chiesa di Polenta,,['Corrado Ricci'],"[{'type': 'OTHER', 'identifier': 'OCLC:886487497'}]"
112,Marinelli L.,La rocca di Faenza,,['Giulio Cesare Tonduzzi'],"[{'type': 'OTHER', 'identifier': 'BSB:BSB10941246'}]"
113,Ricci B.,Il canonico Obizzo de domo Estensi,,['Bernardino Ricci'],"[{'type': 'OTHER', 'identifier': 'OCLC:634297595'}]"
114,,Italia Pontificia sive Repertorium privilegiorum et litterarum a romanis pontificibus ante annum 1198,,['Paul Fridolin Kehr'],"[{'type': 'ISBN_10', 'identifier': '0428333060'}, {'type': 'ISBN_13', 'identifier': '9780428333065'}]"
115,Caleffini U.,Diario di Ugo Caleffini,,"['Ugo Caleffini', 'Giuseppe Pardi']","[{'type': 'OTHER', 'identifier': 'LCCN:42082573'}]"
116,,Corpus Chronicorum Bononiensium,,['Albano Sorbelli'],"[{'type': 'OTHER', 'identifier': 'OCLC:631958226'}]"
117,Zaccaria G.,Storia di Meldola e del suo territorio,,['Giacomo Zaccaria'],"[{'type': 'OTHER', 'identifier': 'OCLC:164646279'}]"
118,Mastro Pedrino G.,Cronica del suo tempo: 1411-1436,,['Giovanni (di Pedrino)'],"[{'type': 'OTHER', 'identifier': 'OCLC:174222110'}]"
119,Mastro Pedrino G.,Cronica del suo tempo: 1437-1464. Appendice: 1347-1395,,"['Gino Borghezio', 'Adamo Pasini']","[{'type': 'OTHER', 'identifier': 'OCLC:851270792'}]"
120,Fantuzzi M.,Monumenti ravennati de' secoli di mezzo per la maggior parte inediti,,['conte Marco Fantucci'],"[{'type': 'OTHER', 'identifier': 'UOM:39015049815171'}]"
121,"Riccobaldo, da Ferrara",Chronica Parva Ferrariensis,,['Riccobaldus (Ferrariensis.)'],"[{'type': 'OTHER', 'identifier': 'WISC:89044763431'}]"
122,Fantuzzi M.,Monumenti ravennati de' secoli di mezzo per la maggior parte inediti. II,,['conte Marco Fantucci'],"[{'type': 'OTHER', 'identifier': 'UOM:39015049815171'}]"
123,Fantuzzi M.,Monumenti ravennati de' secoli di mezzo per la maggior parte inediti. VI,,['Marco Fantuzzi'],"[{'type': 'OTHER', 'identifier': 'ONB:+Z222428503'}]"
124,Fantuzzi M.,Monumenti ravennati de' secoli di mezzo per la maggior parte inediti. III,,['Marco Fantuzzi'],"[{'type': 'OTHER', 'identifier': 'ONB:+Z159278707'}]"
125,Fantuzzi M.,Monumenti ravennati de' secoli di mezzo per la maggior parte inediti. IV,,['Marco Fantuzzi'],"[{'type': 'OTHER', 'identifier': 'UOM:39015049815171'}]"
126,Fantuzzi M.,Monumenti ravennati de' secoli di mezzo per la maggior parte inediti. V,,['conte Marco Fantucci'],"[{'type': 'OTHER', 'identifier': 'UOM:39015049815171'}]"
127,,Atlante dei Beni Archeologici della Provincia di Modena. Pianura,,"['Andrea Cardarelli', 'Luigi Malnati']","[{'type': 'OTHER', 'identifier': 'STANFORD:36105029968356'}]"
128,,Cronache Malatestiane dei secoli XIV e XV: aa. 1295-1385 e 1416-1452,,,"[{'type': 'OTHER', 'identifier': 'UVA:X004782586'}]"
129,Vitali G.,Memorie storiche risguardanti la terra di M. Fiore,,['Gaetano Vitali'],"[{'type': 'OTHER', 'identifier': 'OXFORD:591016797'}]"
130,Violi F.,Fra lingua e storia nella valle della Rossenna,,,"[{'type': 'OTHER', 'identifier': 'STANFORD:36105038481102'}]"
131,,"Colorno, la Versailles dei duchi di Parma",,['Fermo Fanfoni'],"[{'type': 'OTHER', 'identifier': 'OCLC:886275607'}]"
132,,"Cronache Modenesi di A. Tassoni, di G. da Bazzano e di B. Morano",,"['Alessandro Tassoni', 'Johannes (de Bazano)', 'Bonifatius (de Morano)']","[{'type': 'OTHER', 'identifier': 'ONB:+Z315922804'}]"
133,,Il castello di Fontanellato,,"['Adriano Concari', 'Mario Calidoni']","[{'type': 'OTHER', 'identifier': 'OCLC:954787112'}]"
134,,Il Liber Censuum del vescovado di Modena,,['Bernardino Ricci'],"[{'type': 'OTHER', 'identifier': 'OCLC:881754485'}]"
135,,"Insediamento storico e beni culturali, alta valle del Panaro?",,"['Istituto per i beni artistici, culturali e naturali della Regione Emilia-Romagna (Bologna)']","[{'type': 'OTHER', 'identifier': 'OCLC:602291198'}]"
136,,"Insediamento storico e beni culturali, alta valle del Secchia",,,"[{'type': 'OTHER', 'identifier': 'OCLC:801093587'}]"
137,,"Insediamento storico e beni culturali, il Frignano",,"['Andrea Cardarelli', 'Luigi Malnati']","[{'type': 'ISBN_13', 'identifier': '9788878143180'}, {'type': 'ISBN_10', 'identifier': '8878143189'}]"
138,Baracchi Giovanardi O.,Finale nei documenti d'archivio modenesi,,['Orianna Baracchi Giovanardi'],"[{'type': 'OTHER', 'identifier': 'OCLC:78348607'}]"
139,Maestri T.,Il castello di Borgotaro,,['Luigi Pigorini'],"[{'type': 'OTHER', 'identifier': 'BSB:BSB10079197'}]"
140,Vanni C. G.,L'estremo lembo della terra di Romagna: San Giovanni in Marignano e la bassa valle di Conca,,['Carlo G. Vanni'],"[{'type': 'OTHER', 'identifier': 'UCAL:$B518154'}]"
141,Vandelli V.,"""Il magnifico castello del Prencipe Marco"": riflessioni sull'assetto castellano prima delle trasform",,['Rinaldo Comba'],"[{'type': 'OTHER', 'identifier': 'NWU:35556027661206'}]"
142,,Coriano e il suo Castello: fonti e storia dall'alto Medioevo alla fine del Settecento,,"['Oreste Delucca', 'Paolo Righini', 'Marco Sassi']","[{'type': 'OTHER', 'identifier': 'UOM:39015058798615'}]"
143,,Il castello di Spezzano. Primi elementi di conoscenza,,,"[{'type': 'OTHER', 'identifier': 'OCLC:955632561'}]"
144,,Storia di Misano Adriatico. Dalla Preistoria al secolo XV,,,"[{'type': 'OTHER', 'identifier': 'OCLC:165602487'}]"
145,,Gli scavi nel castello di Coriano,8871892763,['Mauro Librenti'],"[{'type': 'ISBN_10', 'identifier': '8871892763'}, {'type': 'ISBN_13', 'identifier': '9788871892764'}]"
146,,Montefiore Conca: passato e futuro della Rocca Malatestiana,,['Carlo Giunghi'],"[{'type': 'OTHER', 'identifier': 'OCLC:848961129'}]"
147,,"Rocche e castelli di Romagna. III, Rimini e il Montefeltro romagnolo",,,"[{'type': 'OTHER', 'identifier': 'STANFORD:36105003731507'}]"
148,,Castel Sismondo e Sigismondo Pandolfo Malatesta,,['Angelo Turchini'],"[{'type': 'OTHER', 'identifier': 'STANFORD:36105029956922'}]"
149,,Il castello di Formigine: il progetto archeologico tra conoscenza e restauro: mostra dei reperti archeologici emersi nel corso delle recenti campagne di scavo,,,"[{'type': 'ISBN_13', 'identifier': '9788878143203'}, {'type': 'ISBN_10', 'identifier': '8878143200'}]"
150,Molossi L.,Manuale Topografico degli Stati Parmensi,,['Lorenzo Molossi'],"[{'type': 'OTHER', 'identifier': 'OCLC:82940849'}]"
151,,Libro di conti della famiglia Guastavillani (1289-1304),,"['Enrica Coser', 'Massimo Giansante']","[{'type': 'OTHER', 'identifier': 'UOM:39015058850853'}]"
152,,"San Secondo: arte, storia, attualità",,,"[{'type': 'OTHER', 'identifier': 'OCLC:878368873'}]"
153,,"Torrechiara, rivivere un tempo antico",,,"[{'type': 'OTHER', 'identifier': 'OCLC:24323135'}]"
154,,Statuti del Frignano del 1337-38,,['P. Bernardoni'],"[{'type': 'ISBN_10', 'identifier': '8896831210'}, {'type': 'ISBN_13', 'identifier': '9788896831212'}]"
155,,Poggio Berni: note per una storia,8838795843,['P. A. Fontana'],"[{'type': 'ISBN_10', 'identifier': '8838795843'}, {'type': 'ISBN_13', 'identifier': '9788838795848'}]"
156,,"Il montefeltro. Ambiente, storia, arte nell'alta Valmarecchia",,"['Cristiano Cerioni', 'Tommaso Di Carpegna Falconieri']","[{'type': 'ISBN_13', 'identifier': '9788866552109'}, {'type': 'ISBN_10', 'identifier': '8866552100'}]"
157,Simoni L.,Ettore Bonacossi al castello di Finale,,['AA.VV.'],"[{'type': 'ISBN_13', 'identifier': '9788832029659'}, {'type': 'ISBN_10', 'identifier': '8832029650'}]"
158,Smagliati L.,Cronaca Parmense (1494-1518),,['Leone Smagliati'],"[{'type': 'OTHER', 'identifier': 'STANFORD:36105036134133'}]"
159,Soliani C.,Nelle terre dei Pallavicino,,['Carlo Soliani'],"[{'type': 'OTHER', 'identifier': 'OCLC:688727556'}]"
160,Fermi S.,Il castello di Gravago,,['Cristoforo Poggiali'],"[{'type': 'OTHER', 'identifier': 'ONB:+Z16644170X'}]"
161,Tacchini C.,Cenni di storia locale formiginese,,"['Elena Grandi', 'Mauro Librenti']","[{'type': 'ISBN_13', 'identifier': '9788878145467'}, {'type': 'ISBN_10', 'identifier': '8878145467'}]"
162,Vicini E. P.,Notizie sul primo castello degli Estensi in Modena,,['Luciano Chiappini'],"[{'type': 'ISBN_13', 'identifier': '9788866975540'}, {'type': 'ISBN_10', 'identifier': '8866975540'}]"
163,Garuti A.,Mirandola: una fortezza nel paesaggio padano,,['Alfonso Garuti'],"[{'type': 'OTHER', 'identifier': 'OCLC:1052783492'}]"
164,Garuti A.,"Il palazzo dei Pio di Savoia a Carpi detto ""il castello""",,['Alfonso Garuti'],"[{'type': 'OTHER', 'identifier': 'OCLC:797835807'}]"
165,Garuti A.,I restauri e la riscoperta del palazzo (1863-1998),8843568655,"['Manuela Kahn-Rossi', 'Elena Svalduz']","[{'type': 'OTHER', 'identifier': 'STANFORD:36105115338571'}]"
166,Garuti A.,Finale Emilia: dal territorio al museo,,['Diana Neri'],"[{'type': 'ISBN_13', 'identifier': '9788878142749'}, {'type': 'ISBN_10', 'identifier': '8878142743'}]"
167,Gandolfi G.,Contignago,,['Giacomo Corazza Martini'],"[{'type': 'ISBN_13', 'identifier': '9788849293173'}, {'type': 'ISBN_10', 'identifier': '8849293178'}]"
168,Frison C.,"Quarantoli, Nonantola, la contessa Matilde e i ""Figli di Manfredo"": protagonisti di un falso?",,,"[{'type': 'OTHER', 'identifier': 'UOM:39015051806043'}]"
